time,x,y,theta,theta_degree,v,omega
73.568,0.25619865486529,0.41587491898598633,-2.1307575961971392,-122.08341742753659,0.0835304709479789,0.022468046393730613
73.6,0.254724423679494,0.41352282666828133,-2.1307511245730812,-122.08304663079147,0.08360503928153819,0.023705123300125964
73.634,0.253324708308931,0.4112912003586452,-2.1314676304439297,-122.12409939318744,0.08368377722273568,0.02187214124306054
73.667,0.25196698296201664,0.40913283974077636,-2.133114009424899,-122.21842996027603,0.08375971491507818,0.0221223244874312
73.7,0.2505816023536599,0.40694015262373245,-2.1352769701993157,-122.34235848390244,0.08383517468634577,0.02284983448335739
73.734,0.2492253367549155,0.4048035619271358,-2.137246324758345,-122.45519418849966,0.0839124205011785,0.022387984083358323
73.767,0.24783578661299197,0.40262260232889646,-2.138599610826437,-122.5327317686752,0.0839869077635907,0.023648536650440793
73.8,0.2463477448572179,0.40029118777519584,-2.138896077171725,-122.54971803902787,0.08406091496378584,0.0251028073833036
73.834,0.24486126400817443,0.39796027914692106,-2.138135599064154,-122.50614585305195,0.08413666196730077,0.024435218534625894
73.868,0.2433755237091994,0.3956263417162918,-2.1373158368742122,-122.45917693936389,0.08421189787838394,0.024266132322970663
73.9,0.24184515312390323,0.3932179024077994,-2.136482940829366,-122.41145551122106,0.08428224059565546,0.025875889486334857
73.934,0.2403602047676165,0.3908767425725227,-2.1356825664340584,-122.3655974363396,0.08435648225050628,0.023935371268973438
73.967,0.23887674688008848,0.38853353846145466,-2.134824604973511,-122.31643986566534,0.08442804947529703,0.024310610662443128
74.0,0.23734885239980913,0.386115657144361,-2.1340014996204792,-122.269279402842,0.08449913249718924,0.024709049356551736
74.034,0.23586779871339558,0.3837674703624919,-2.13316648322599,-122.22143648761354,0.08457186241292262,0.023385354431412122
74.067,0.23439244360233616,0.3814238155855755,-2.1322163612272376,-122.1669985070625,0.08464196031539947,0.02369090155325004
74.1,0.23288908163469058,0.37902990545412596,-2.1309526584666973,-122.0945936723245,0.08471157201499169,0.023819172184040557
74.134,0.23145580091636214,0.37673952876585604,-2.1292236553542847,-121.99552909121829,0.08478278394736578,0.022104539214602453
74.167,0.23001693549767868,0.37443164206733803,-2.127663647678372,-121.90614723538047,0.08485140651433895,0.022352272164486733
74.201,0.22850099456458328,0.37199390399232135,-2.126849683015143,-121.85951049550467,0.08492159797702342,0.022507122093950255
74.234,0.22702591745135703,0.3696184635545775,-2.1261397177310224,-121.81883248112375,0.08498922877539733,0.022420267788520836
74.267,0.2255514951690307,0.367240125201992,-2.1254228794301206,-121.77776067188874,0.08505637013475172,0.02225844030180143
74.3,0.2240343684048729,0.36478877599379594,-2.124658782496209,-121.73398114243672,0.08512302143091635,0.022605867633356227
74.334,0.22256252917228067,0.3624066295594365,-2.123920892437331,-121.69170315631837,0.08519117924546991,0.021408420380160876
74.368,0.22109130459299042,0.3600215289744718,-2.1231728857298897,-121.64884552893449,0.08525881551726121,0.021249351694763722
74.4,0.21957580325548187,0.35756060530902023,-2.122445248632864,-121.60715499425777,0.08532199616177752,0.022664030257396058
74.434,0.2181053777947467,0.35516905756399775,-2.121744989162901,-121.56703308206482,0.08538861813115814,0.020943857518344232
74.467,0.2166358164904455,0.35277502283680395,-2.120997944186445,-121.52423055780744,0.08545278002029119,0.02128025641215223
74.501,0.21512200111178312,0.35030486575108444,-2.120288875209221,-121.48360389802885,0.08551836979495489,0.021122797563028334
74.534,0.21365334451179385,0.34790460163073944,-2.1195904035493234,-121.44358441980721,0.08558152862947044,0.020967593686971917
74.567,0.2121852100397136,0.345501441650731,-2.1188992267346496,-121.40398290542912,0.08564419253529289,0.020814326262446906
74.6,0.2106731905012503,0.3430225591121263,-2.118194463408321,-121.36360294127488,0.0857063609337883,0.021157197472948874
74.634,0.20920625779241014,0.3406138552851609,-2.1175186557368217,-121.32488201393541,0.08576989435923915,0.02002437925551625
74.667,0.2077400610900144,0.33820266964497575,-2.1168356202546166,-121.28574696354737,0.08583105496827129,0.02035127464622045
74.7,0.2062300259203969,0.33571565666655956,-2.116179926764212,-121.24817849389298,0.08589171834691683,0.020690633127319346
74.734,0.20476575515689388,0.33330054805615517,-2.1155562289583982,-121.21244324192828,0.0859536993595855,0.019577553230992757
74.767,0.20330736321460252,0.3308921195850641,-2.1150794737710386,-121.18512718183162,0.08601335149671821,0.01986499173862302
74.8,0.2018266408781449,0.3284456044187982,-2.115196316739797,-121.19182179080725,0.0860725047259635,0.020059116875955452
74.834,0.20042039112046886,0.3261244464167732,-2.116013544428851,-121.23864548829127,0.08613292808845602,0.01887558168884442
74.867,0.19905322702011882,0.32387496812864347,-2.1177572776671187,-121.3385540434407,0.08619106671648331,0.019171356483242568
74.9,0.19765376443387866,0.3215827909990288,-2.1199151091826223,-121.46218868217936,0.08624870480453145,0.019931836747541468
74.934,0.1962799463977644,0.3193429969890968,-2.1217865385711145,-121.56941368779673,0.08630756542122794,0.019547912895218494
74.967,0.194869244738947,0.3170508799856235,-2.122937995180666,-121.63538729181647,0.08636418564040119,0.02076160721394706
75.0,0.19335806160806468,0.3145984854273868,-2.1229269916304396,-121.63475683482883,0.08642030373277028,0.022092154907519847
75.034,0.1918662190468967,0.31217466915255054,-2.1222298163731654,-121.59481163500607,0.08647759664938055,0.021208159019729743
75.067,0.19037576515627427,0.309749240781084,-2.1214966925760548,-121.55280673557102,0.08653269369698398,0.02157385596309231
75.1,0.18884104124416387,0.30724776155411004,-2.1207761897280655,-121.51152496325409,0.08658728707608955,0.021953679972880356
75.134,0.1873524935638971,0.3048176758598282,-2.1200708010216642,-121.4711091674611,0.08664300747922953,0.02071903549457797
75.167,0.1858648448248382,0.30238515568277274,-2.1193496676322083,-121.42979126777931,0.08669657672917626,0.021078458406527553
75.2,0.1843326579462271,0.2998757120830228,-2.1186511649756494,-121.3897700135798,0.08674964081393348,0.021447999533944672
