x,y,theta,theta_degree,v,omega
0.9057074537714793,-0.5727162170627843,1.3731335141794958,78.67475507045229,0.06739420221194099,0.047180916957840324
0.9061546994118378,-0.5704733772009805,1.3746005424032992,78.7588095961028,0.06750461720225051,0.046387502683344906
0.9065863301999505,-0.5682925681866062,1.375999555683125,78.83896715251957,0.06761139136054059,0.045658687327739145
0.9070155988450964,-0.566107811786264,1.3773737844906393,78.91770466327544,0.06771777672606272,0.04497116771597298
0.9074554092063651,-0.5638529662451489,1.378764313922115,78.99737613098773,0.06782377198954527,0.044242843619519245
0.9078798045000449,-0.5616614083165112,1.3800826925183658,79.07291366035328,0.06793256984336773,0.043712518692422986
0.9083005383879078,-0.5594735756436017,1.381346074020744,79.14530008835443,0.06803776908853487,0.04322204821084474
0.9087253845817289,-0.557251529506887,1.3821794886315968,79.19305122814085,0.0681425743152265,0.04358351674117067
0.909124193525464,-0.5551610883919558,1.382140592360502,79.19082263596832,0.0682501420008285,0.045742780223973156
0.9095107621324434,-0.5531398852312213,1.3812798818082928,79.14150755394435,0.06835414333478927,0.049476474771544154
0.9098925695489705,-0.5511606003629236,1.379245135548063,79.02492518085316,0.06845774680951558,0.055550449233740196
0.9102532604385515,-0.5493157213840042,1.3764775312073645,78.86635313276905,0.06856719312917635,0.06320318301535233
0.9106125315288172,-0.5475064173495813,1.373451106293862,78.6929517582121,0.0686668641952218,0.07118451720642449
0.9109884086935496,-0.5456429204197666,1.3705265476180675,78.52538688915071,0.06876925442937964,0.07901490649602971
0.911365327570114,-0.5437986517440058,1.3683071900350887,78.39822706641567,0.06887432603604979,0.08548705823047387
0.9117613565770182,-0.5418778434869052,1.3669866310338237,78.32256460904517,0.06897589708270734,0.09009422895339769
0.9121905514233956,-0.5398013663180914,1.3671262239075221,78.3305626915582,0.0690770628102649,0.09177369605818742
0.9126250298427392,-0.5376895255979436,1.3686940471583504,78.42039234685315,0.06918086896623543,0.09064838222296379
0.913073394773266,-0.5354832425598147,1.371593080362394,78.58649471411313,0.0692812080806568,0.08679413728052632
0.9135326412403404,-0.5331888270251243,1.374497022346825,78.75287833377186,0.0693811382543271,0.08292286359906376
0.9139746584651508,-0.5309485781262542,1.3771108182876912,78.90263780969194,0.06948366765219231,0.07968308961447423
