time,x,y,theta,theta_degree,v,omega
88.234,-0.3735576674441208,-0.6392633732559452,-2.1581735356015215,-123.6542350467941,0.06807613059302045,0.023320372952114896
88.267,-0.37474893927340214,-0.6410507642848152,-2.1588610489741016,-123.69362666140174,0.06794104390385194,-0.01039755172278489
88.303,-0.3760249817301986,-0.6429659923050197,-2.1581733738343014,-123.65422577821512,0.06779332549201907,-0.0074460579547861285
88.334,-0.3772667336524889,-0.6448302580749543,-2.1584883795666534,-123.67227427720132,0.06766583158722472,-0.04224845487392774
88.367,-0.37850745831269034,-0.6466918896555829,-2.158720000227583,-123.68554516352062,0.06752981709403684,-0.027986208854117907
88.4,-0.3797803636105218,-0.6485985318073036,-2.1600862801225906,-123.76382723513814,0.06739349989524758,-0.03459748858784692
88.434,-0.3810156415544011,-0.650444114201009,-2.1610311481435547,-123.81796418493624,0.06725273710526328,-0.01678691576573884
88.467,-0.3822490255246015,-0.6522827278867313,-2.162153201273111,-123.88225309364928,0.067115810681621,-0.025603503351313128
88.5,-0.3835225653371484,-0.654177799074154,-2.1627349475831164,-123.91558470195989,0.0669785868524216,-0.03408583862158541
88.534,-0.3847551302430752,-0.6560091373091661,-2.163560410991912,-123.96288027142636,0.06683689553459703,-0.016162911162909667
88.569,-0.3859856469539764,-0.6578335190007149,-2.164676371452635,-124.02682009592927,0.06669071107346941,-0.00639777642083567
88.608,-0.3872536544107796,-0.6597103505192078,-2.1651712430113044,-124.05517414764208,0.06652743312348239,0.021836990591315115
88.634,-0.3884870066046581,-0.6615344610022907,-2.1654041040606926,-124.06851610298501,0.06641835612755245,-0.06594422676903001
88.667,-0.3897183910365404,-0.6633561895124613,-2.164803184296438,-124.03408593666724,0.06627965460298288,-0.02898745768578574
88.7,-0.39092167344865236,-0.6651362134728571,-2.165552998153457,-124.07704710609485,0.06614066656024085,-0.02357279310131993
88.734,-0.3920989863825986,-0.6668765911496196,-2.165485165538849,-124.07316058356447,0.0659971690233258,-0.00687990228362192
88.767,-0.39326072976233845,-0.6685953749088741,-2.164963859482243,-124.04329194668632,0.0658576049161376,-0.017556286664834515
88.8,-0.394439636202314,-0.6703433239827481,-2.1636515215456558,-123.96810052162498,0.06571775988309415,-0.02787877643696044
88.834,-0.39558214629002225,-0.6720414341473824,-2.1627370982180447,-123.91570792426455,0.06557338527100924,-0.009652524194709381
88.867,-0.39674437683826713,-0.6737705432221346,-2.1625982900882694,-123.90775480426633,0.06543297563115456,-0.03320382757596331
88.901,-0.3979844370391729,-0.6756150728518262,-2.1628476371289636,-123.92204133733217,0.06528802330598726,-0.04785855477026357
88.934,-0.3991866766047803,-0.6774002489853699,-2.163938926783757,-123.98456762877815,0.06514705685368528,-0.04827869715079554
88.967,-0.4003861657403355,-0.6791762262864244,-2.1655100058045162,-124.07458382594919,0.06500581904481018,-0.047255182694916985
89.0,-0.4016208730601843,-0.6809979893834615,-2.1671455306495124,-124.16829249685625,0.06486431180528544,-0.05494247654473176
89.038,-0.40281972929938226,-0.6827607804622661,-2.168702141660397,-124.25747973812352,0.0647010328395607,0.0095730941629109
89.067,-0.40401827481066865,-0.6845167415910288,-2.170494634667548,-124.36018202224,0.06457618842166021,-0.07623806943283862
89.1,-0.4052572141762093,-0.686329057393652,-2.1703095543545468,-124.34957770143407,0.06443387660762148,-0.055066422444754966
89.134,-0.4064530047340866,-0.6880741640302156,-2.172618687551801,-124.4818812879703,0.06428697877875376,-0.0345012239362528
89.167,-0.40765061605253883,-0.6898139057581884,-2.1744610018511894,-124.58743812186184,0.06414413802082518,-0.04371076786229452
89.2,-0.40888713551993194,-0.6916045797253504,-2.1756389926954727,-124.65493202554433,0.06400103976078038,-0.0523351885260483
89.234,-0.4100858265735021,-0.6933356262170157,-2.1770682189050734,-124.73682065532392,0.06385333799010551,-0.0330860280986255
89.267,-0.4112831209322795,-0.6950587941618246,-2.1787785320206803,-124.83481437849407,0.06370972312402123,-0.04227059584908455
89.3,-0.4125192384909016,-0.6968325585319246,-2.1799119172376655,-124.89975256798985,0.06356585689030661,-0.050902005128113374
89.334,-0.41371766579211305,-0.6985476392764649,-2.1812854572699436,-124.97845061483164,0.06341737033087981,-0.0319984822731368
89.368,-0.4149140339235912,-0.7002541568803553,-2.1829515934989874,-125.07391318884969,0.06326862137142937,-0.03162272634686676
89.4,-0.41614878224346247,-0.7020103652903843,-2.1840574874854957,-125.13727624686551,0.06312838468365253,-0.057590605871856396
89.434,-0.4173464010325008,-0.7037099298653813,-2.185099893146838,-125.19700169180096,0.06297913285660599,-0.03135048047712075
89.467,-0.41854241090579486,-0.7054019625886091,-2.186928234341672,-125.30175792577487,0.06283402625972442,-0.0406276066807658
89.501,-0.4197784528306488,-0.707145283772452,-2.1879637359916932,-125.36108779999992,0.06268427281271408,-0.0411600345003203
89.534,-0.4209706771980594,-0.7088225446029964,-2.189349666553311,-125.44049577187883,0.06253868372680944,-0.03937433269843594
89.568,-0.4221650986753649,-0.7104980645549356,-2.19069776754561,-125.51773626909494,0.06238843770960757,-0.03041845311637287
89.603,-0.4233916748784383,-0.7122136263132411,-2.1921018783079345,-125.59818588974503,0.06223351527477389,-0.030235199055469876
89.634,-0.4245830785436935,-0.7138757990228275,-2.193180617042197,-125.65999306641555,0.062096082238136466,-0.05639423141188572
89.667,-0.42576643196508646,-0.7155229787736557,-2.19436878675642,-125.7280701763858,0.06194956168379454,-0.03737186164853964
89.7,-0.42697011062660317,-0.7171922018490167,-2.1966854764593364,-125.86080671880433,0.061802815514441924,-0.04156643785968904
89.734,-0.428083642766167,-0.7187274319963199,-2.199555779535163,-126.0252629709726,0.061651388859020446,-0.0013643935522861428
89.767,-0.42916704444168124,-0.7202110472020871,-2.2030667004807682,-126.22642392335987,0.06150419145546489,-0.0018403324670818013
89.802,-0.4302564929765075,-0.7216925554663565,-2.2061605725013127,-126.40368973249068,0.06134783389474681,0.02003133451147403
89.835,-0.4313235335208985,-0.7231348491670563,-2.208865588736286,-126.558675746269,0.06120018798928561,0.002966215494961557
89.867,-0.4324089557575951,-0.7245952255630924,-2.210635297090611,-126.6600725659409,0.06105681163796895,-0.014381627251120157
89.9,-0.4335852002435207,-0.7261730310557648,-2.2118181235557377,-126.72784353028902,0.060908746053193956,-0.028967044684313558
89.934,-0.4347891284965405,-0.7277855092122654,-2.212283439220646,-126.75450415402959,0.06075597438149345,-0.028695749554030463
89.967,-0.4359874019720164,-0.7293880446990137,-2.2132404346471706,-126.80933595298278,0.06060748557366263,-0.036166249818424666
90.0,-0.4372212541374815,-0.7310349249868672,-2.214208443033478,-126.86479874805146,0.06045879184818189,-0.04285357496117431
90.034,-0.4384161302776961,-0.732626132543883,-2.2153863983278446,-126.93229061487375,0.060305380413916775,-0.028562138668234215
90.067,-0.43960921092072863,-0.7342106287694073,-2.2167854686126267,-127.01245143743394,0.06015627790418009,-0.036078657865589246
90.101,-0.4408395401429378,-0.7358406573423149,-2.2177692342592206,-127.06881705701372,0.06000245035085778,-0.036569638827725244
90.134,-0.44203086311823186,-0.7374154497376721,-2.218935038225385,-127.13561270401456,0.0598529488988751,-0.03645504719107436
90.167,-0.44322018151158693,-0.7389837009817154,-2.2201245049474956,-127.20376412706275,0.059703254612639055,-0.036281788660071826
90.2,-0.4444448632602877,-0.740594532248498,-2.221351003000446,-127.27403728907782,0.05955336993004241,-0.04297143214549006
90.236,-0.4456311403857468,-0.7421510418083838,-2.222507086920605,-127.34027601846589,0.05938964510601466,-0.010534325647188404
90.267,-0.44681245765767513,-0.7436970679149512,-2.2238122396558486,-127.41505576181528,0.059248483067802615,-0.04960525146118267
90.3,-0.44803865746505894,-0.7452991837428028,-2.2241991822079696,-127.43722593696585,0.05909803648837835,-0.04507455810210394
90.334,-0.4491680612925378,-0.7467734042059536,-2.22458417318732,-127.45928429523323,0.058942842268744695,-0.01591502315575651
90.367,-0.45025642899045537,-0.7481947135880086,-2.2241105433380897,-127.43214730382091,0.058792032070285716,-0.018427249967873743
90.4,-0.4513721297304315,-0.7496548860275003,-2.222740576759674,-127.35365400080373,0.058641046620633665,-0.0329589047682228
90.435,-0.452460163272319,-0.7510824345718803,-2.221654962245987,-127.2914528709913,0.05848072188900439,-0.01003434673348224
90.468,-0.4535657748382065,-0.7525349443458224,-2.2213874789679267,-127.27612720806812,0.058329383414553154,-0.04362998457603197
